07:43:26.861303 config: drop-rate=0.20, max-delay=100ms, seed=2387230234324
07:55:50.834202 [queue=0] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delivered
07:55:53.785252 [queue=1] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delayed for 65ms
07:55:53.851338 [queue=0] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delivered
07:55:56.786866 [queue=1] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delayed for 57ms
07:55:56.845084 [queue=0] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delivered
07:55:59.787793 [queue=1] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delayed for 1ms
07:55:59.790731 [queue=0] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delivered
07:56:02.789479 [queue=1] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delayed for 31ms
07:56:02.821766 [queue=0] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delivered
07:59:26.454486 [queue=1] packet #0, 127.0.0.1:59465 -> 52.5.175.227:80, sz=0 is delayed for 13ms
07:59:26.468408 [queue=0] packet #0, 127.0.0.1:59465 -> 52.5.175.227:80, sz=0 is delivered
07:59:29.455543 [queue=1] packet #0, 127.0.0.1:59465 -> 52.5.175.227:80, sz=0 is delayed for 42ms
07:59:29.498962 [queue=0] packet #0, 127.0.0.1:59465 -> 52.5.175.227:80, sz=0 is delivered
07:59:32.456989 [queue=0] packet #0, 127.0.0.1:59465 -> 52.5.175.227:80, sz=0 is dropped
07:59:35.459004 [queue=1] packet #0, 127.0.0.1:59465 -> 52.5.175.227:80, sz=0 is delayed for 12ms
07:59:35.472570 [queue=0] packet #0, 127.0.0.1:59465 -> 52.5.175.227:80, sz=0 is delivered
13:17:26.497492 config: drop-rate=0.20, max-delay=100ms, seed=2387230234324
13:17:26.499484 router is listening at :3000
13:19:23.041693 [queue=1] packet #0, 127.0.0.1:65353 -> 127.0.0.1:8080, sz=0 is delayed for 44ms
13:19:23.086776 [queue=0] packet #0, 127.0.0.1:65353 -> 127.0.0.1:8080, sz=0 is delivered
13:19:23.102462 [queue=1] packet #0, 127.0.0.1:65354 -> 127.0.0.1:65353, sz=0 is delayed for 63ms
13:19:23.166788 [queue=0] packet #0, 127.0.0.1:65354 -> 127.0.0.1:65353, sz=0 is delivered
13:19:23.170844 [queue=1] packet #0, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=0 is delayed for 14ms
13:19:23.183836 [queue=2] packet #1, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=10 is delayed for 28ms
13:19:23.184840 [queue=3] packet #2, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=10 is delayed for 2ms
13:19:23.185843 [queue=2] packet #0, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=0 is delivered
13:19:23.185843 [queue=3] packet #3, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=10 is delayed for 89ms
13:19:23.186840 [queue=4] packet #4, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=10 is delayed for 51ms
13:19:23.187833 [queue=3] packet #2, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=10 is delivered
13:19:23.187833 [queue=4] packet #5, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=10 is delayed for 99ms
13:19:23.188833 [queue=5] packet #6, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=8 is delayed for 8ms
13:19:23.191826 [queue=6] packet #2, 127.0.0.1:65354 -> 127.0.0.1:65353, sz=0 is delayed for 35ms
13:19:23.194818 [queue=7] packet #7, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=0 is delayed for 23ms
13:19:23.198814 [queue=6] packet #6, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=8 is delivered
13:19:23.208776 [queue=6] packet #6, 127.0.0.1:65354 -> 127.0.0.1:65353, sz=0 is dropped
13:19:23.212822 [queue=5] packet #1, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=10 is delivered
13:19:23.219755 [queue=4] packet #7, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=0 is delivered
13:19:23.219755 [queue=5] packet #1, 127.0.0.1:65354 -> 127.0.0.1:65353, sz=0 is delayed for 86ms
13:19:23.224733 [queue=6] packet #7, 127.0.0.1:65354 -> 127.0.0.1:65353, sz=0 is delayed for 46ms
13:19:23.228001 [queue=5] packet #2, 127.0.0.1:65354 -> 127.0.0.1:65353, sz=0 is delivered
13:19:23.240985 [queue=4] packet #4, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=10 is delivered
13:19:23.245500 [queue=5] packet #4, 127.0.0.1:65354 -> 127.0.0.1:65353, sz=0 is delayed for 87ms
13:19:23.272171 [queue=4] packet #7, 127.0.0.1:65354 -> 127.0.0.1:65353, sz=0 is delivered
13:19:23.275926 [queue=3] packet #3, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=10 is delivered
13:19:23.283906 [queue=4] packet #3, 127.0.0.1:65354 -> 127.0.0.1:65353, sz=0 is delayed for 82ms
13:19:23.287902 [queue=3] packet #5, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=10 is delivered
13:19:23.292881 [queue=4] packet #5, 127.0.0.1:65354 -> 127.0.0.1:65353, sz=0 is delayed for 68ms
13:19:23.293884 [queue=5] packet #7, 127.0.0.1:65354 -> 127.0.0.1:65353, sz=0 is delayed for 77ms
13:19:23.307137 [queue=4] packet #1, 127.0.0.1:65354 -> 127.0.0.1:65353, sz=0 is delivered
13:19:23.334577 [queue=3] packet #4, 127.0.0.1:65354 -> 127.0.0.1:65353, sz=0 is delivered
13:19:23.361078 [queue=2] packet #5, 127.0.0.1:65354 -> 127.0.0.1:65353, sz=0 is delivered
13:19:23.366127 [queue=1] packet #3, 127.0.0.1:65354 -> 127.0.0.1:65353, sz=0 is delivered
13:19:23.373113 [queue=0] packet #7, 127.0.0.1:65354 -> 127.0.0.1:65353, sz=0 is delivered
13:19:23.380982 [queue=1] packet #0, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=0 is delayed for 32ms
13:19:23.380982 [queue=2] packet #0, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=0 is delayed for 94ms
13:19:23.381985 [queue=3] packet #0, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=0 is delayed for 71ms
13:19:23.383981 [queue=4] packet #0, 127.0.0.1:65353 -> 127.0.0.1:65354, sz=0 is delayed for 27ms
